,NMI moyen,Erreur type NMI,AMI moyen,Erreur type AMI,Temps moyen (s),Erreur type Temps
OtrisymNMF,0.7729,0.0645,0.7523,0.0677,26.73,1.88
KN,0.92,0.0173,0.9099,0.0196,142.07,13.72
KL_EM,0.9519,0.0085,0.9447,0.0116,154.83,19.22
MHA250k,0.9256,0.0172,0.9146,0.0203,243.98,5.22
OtrisymNMF_SVCA,0.9709,0.0345,0.9673,0.0384,13.36,1.35
SVCA,0.836,0.0601,0.821,0.0633,0.92,0.26
KN_SVCA,0.9986,0.0039,0.9984,0.0043,58.36,8.01
KL_EM_SVCA,0.9998,0.0006,0.9998,0.0007,68.53,11.18
MHA250k_SVCA,0.9933,0.0088,0.992,0.0106,298.43,7.78
